,Hungary_Biowaste,Hungary_Geothermal,Hungary_Hydro Run-of-river and poundage,Hungary_Hydro Water Reservoir,Hungary_Other renewable,Hungary_Solar,Hungary_Wind Onshore,Hungary_Load,Italy_Biowaste,Italy_Geothermal,Italy_Hydro Pumped Storage,Italy_Hydro Run-of-river and poundage,Italy_Hydro Water Reservoir,Italy_Solar,Italy_Wind Onshore,Italy_Load,Poland_Biowaste,Poland_Hydro Pumped Storage,Poland_Hydro Run-of-river and poundage,Poland_Hydro Water Reservoir,Poland_Solar,Poland_Wind Onshore,Poland_Load,Spain_Biowaste,Spain_Geothermal,Spain_Hydro Run-of-river and poundage,Spain_Hydro Water Reservoir,Spain_Marine,Spain_Other renewable,Spain_Solar,Spain_Wind Offshore,Spain_Wind Onshore,Spain_Load,United Kingdom_Load,Germay_Biowaste,Germay_Geothermal,Germay_Hydro Pumped Storage,Germay_Hydro Run-of-river and poundage,Germay_Hydro Water Reservoir,Germay_Other renewable,Germay_Solar,Germay_Wind Offshore,Germay_Wind Onshore,Germay_Load,Denmark_Biowaste,Denmark_Solar,Denmark_Wind Offshore,Denmark_Wind Onshore,Denmark_Load,Sweden_Hydro Water Reservoir,Sweden_Marine,Sweden_Solar,Sweden_Wind Onshore,Sweden_Load,Netherlands_Biowaste,Netherlands_Hydro Run-of-river and poundage,Netherlands_Solar,Netherlands_Wind Offshore,Netherlands_Wind Onshore,Netherlands_Load,United Kingdom_Wind Onshore,Italy_Wind Offshore
2021-12-31 23,133.0,1.0,12.0,10.0,8.0,1.0,127.0,4255.0,678.0,640.0,2.0,2116.0,243.0,1.0,2025.0,21122.0,222.0,1.0,177.0,1.0,1.0,4245.0,14439.0,534.0,1.0,1083.0,1348.0,1.0,99.0,76.0,1.0,6399.0,20828.0,678.0,4334.0,27.0,489.0,1425.0,120.0,127.0,1.0,5689.0,24851.0,42197.0,469.0,2.0,1876.0,1309.0,3315.0,7016.0,1.0,1.0,4046.0,15332.0,22.0,1.0,1.0,1999.0,1517.0,10327.0,,
2022-1-1 0,524.0,1.0,45.0,37.0,31.0,1.0,744.0,16458.0,684.0,641.0,1.0,1952.0,201.0,1.0,2141.0,19757.0,222.0,1.0,200.0,1.0,1.0,4072.0,13936.0,525.0,1.0,1047.0,747.0,1.0,97.0,76.0,1.0,6457.0,19531.0,1245.0,17296.0,105.0,2275.0,5691.0,379.0,505.0,1.0,23113.0,95801.0,165126.0,512.0,2.0,1905.0,1190.0,3219.0,7087.0,1.0,1.0,4022.0,15332.0,86.0,1.0,1.0,6885.0,5740.0,40707.0,,
2022-1-1 1,517.0,1.0,45.0,37.0,29.0,1.0,903.0,15427.0,671.0,640.0,1.0,1832.0,156.0,1.0,2234.0,18686.0,224.0,1.0,217.0,1.0,1.0,3998.0,13580.0,533.0,1.0,1046.0,734.0,1.0,97.0,76.0,1.0,6145.0,18384.0,1132.0,17323.0,107.0,1393.0,5684.0,133.0,505.0,1.0,21799.0,91465.0,160416.0,520.0,2.0,1739.0,1052.0,3127.0,7089.0,1.0,1.0,3949.0,15271.0,86.0,1.0,1.0,5519.0,5495.0,39466.0,,
2022-1-1 2,508.0,1.0,45.0,37.0,29.0,1.0,946.0,14782.0,657.0,649.0,1.0,1843.0,159.0,1.0,2369.0,18125.0,226.0,1.0,239.0,1.0,1.0,4106.0,13398.0,529.0,1.0,1050.0,756.0,1.0,99.0,76.0,1.0,5944.0,17681.0,1092.0,17344.0,109.0,711.0,5686.0,168.0,505.0,1.0,21819.0,86283.0,158036.0,559.0,2.0,1437.0,1049.0,3081.0,6747.0,1.0,1.0,3764.0,15151.0,87.0,1.0,1.0,5513.0,5685.0,38924.0,,
2022-1-1 3,507.0,1.0,45.0,37.0,29.0,1.0,674.0,14631.0,650.0,649.0,1.0,1819.0,161.0,1.0,2152.0,18401.0,230.0,1.0,246.0,1.0,1.0,4086.0,13365.0,534.0,1.0,1032.0,720.0,1.0,97.0,76.0,1.0,5837.0,17397.0,970.0,17355.0,109.0,386.0,5677.0,300.0,505.0,1.0,21774.0,80913.0,157017.0,469.0,2.0,1506.0,879.0,3045.0,7174.0,1.0,1.0,3598.0,15388.0,86.0,1.0,1.0,5669.0,5493.0,38212.0,,
2022-1-1 4,505.0,1.0,45.0,37.0,29.0,1.0,698.0,14689.0,645.0,650.0,1.0,1931.0,160.0,1.0,1821.0,19224.0,231.0,1.0,243.0,1.0,1.0,3903.0,13450.0,535.0,1.0,1017.0,612.0,1.0,94.0,76.0,1.0,5686.0,17545.0,897.0,17402.0,109.0,323.0,5638.0,271.0,505.0,1.0,17213.0,77785.0,154553.0,506.0,2.0,1392.0,828.0,3131.0,7498.0,1.0,1.0,3356.0,15738.0,86.0,1.0,1.0,5829.0,5145.0,38147.0,,
2022-1-1 5,512.0,1.0,45.0,37.0,28.0,1.0,833.0,14961.0,643.0,649.0,1.0,2193.0,207.0,44.0,1794.0,19739.0,233.0,1.0,235.0,1.0,1.0,3838.0,13445.0,540.0,1.0,1019.0,780.0,1.0,92.0,76.0,1.0,5584.0,17867.0,872.0,17574.0,109.0,377.0,5641.0,133.0,505.0,1.0,18989.0,75540.0,154276.0,555.0,2.0,1408.0,618.0,3239.0,7974.0,1.0,1.0,3136.0,16055.0,86.0,1.0,1.0,6269.0,4645.0,38957.0,,
2022-1-1 6,525.0,1.0,45.0,37.0,29.0,128.0,869.0,15035.0,645.0,649.0,1.0,2485.0,240.0,901.0,1760.0,20290.0,232.0,1.0,228.0,1.0,22.0,3892.0,13528.0,528.0,1.0,1030.0,769.0,1.0,96.0,145.0,1.0,5547.0,17807.0,861.0,17840.0,109.0,582.0,5653.0,153.0,505.0,8.0,18878.0,70493.0,157357.0,721.0,2.0,1099.0,475.0,3379.0,8821.0,1.0,1.0,2938.0,16456.0,84.0,1.0,1.0,6216.0,4083.0,39969.0,,
2022-1-1 7,523.0,1.0,45.0,37.0,31.0,1030.0,787.0,15260.0,650.0,648.0,1.0,2205.0,202.0,2458.0,1848.0,21470.0,235.0,35.0,208.0,1.0,115.0,3952.0,14203.0,526.0,1.0,1038.0,730.0,1.0,95.0,2025.0,1.0,5626.0,18534.0,923.0,18150.0,109.0,593.0,5714.0,131.0,505.0,2176.0,16438.0,65576.0,163001.0,715.0,13.0,735.0,347.0,3538.0,9061.0,1.0,2.0,2714.0,16944.0,85.0,1.0,3.0,5755.0,4683.0,40809.0,,
2022-1-1 8,521.0,1.0,45.0,37.0,33.0,2265.0,702.0,15552.0,648.0,648.0,89.0,2057.0,185.0,3818.0,1649.0,22736.0,233.0,23.0,198.0,1.0,220.0,3733.0,14852.0,509.0,1.0,1050.0,748.0,1.0,93.0,5221.0,1.0,5202.0,20019.0,1018.0,18230.0,101.0,651.0,5740.0,87.0,505.0,10188.0,16632.0,61219.0,171859.0,676.0,46.0,704.0,233.0,3715.0,9221.0,1.0,8.0,2442.0,17477.0,85.0,1.0,34.0,6440.0,4755.0,41743.0,,
